ALAALA	5.53016896037621
ALAARG	7.99282937428693
ALAASN	6.42209730753677
ALAASP	6.24228731014858
ALACYS	6.03474166562018
ALAGLN	6.97489093438761
ALAGLU	6.76216333226547
ALAGLY	5.0454
ALAHIS	6.90844179009027
ALAILE	6.74398196945294
ALALEU	6.96703072607167
ALALYS	6.95798161799458
ALAMET	7.13581766175641
ALAPHE	7.59460226708356
ALAPRO	6.09947219927688
ALASER	5.69802371965081
ALATHR	6.27260002241178
ALATRP	7.88765024133371
ALATYR	7.68141700198845
ALAVAL	6.35575403358502
ARGARG	10.3096104426092
ARGASN	8.80114994669552
ARGASP	9.32150122201476
ARGCYS	8.02384900977305
ARGGLN	9.20925886720557
ARGGLU	9.87029143386778
ARGGLY	7.3309
ARGHIS	9.29208625825792
ARGILE	8.83512238842503
ARGLEU	8.72937408187280
ARGLYS	9.87929757406129
ARGMET	8.95369667914543
ARGPHE	9.32081638426007
ARGPRO	8.40480453520069
ARGSER	8.41463875187521
ARGTHR	8.56649260283177
ARGTRP	9.30192277103352
ARGTYR	9.74909719974754
ARGVAL	8.39777260160191
ASNASN	7.30932590910709
ASNASP	7.45754013791645
ASNCYS	6.65408403839377
ASNGLN	7.79065155001673
ASNGLU	7.95217053037599
ASNGLY	5.94145
ASNHIS	8.12488508154973
ASNILE	7.33122875744647
ASNLEU	7.60844334816334
ASNLYS	8.37350005558603
ASNMET	8.0206248042581
ASNPHE	8.22827995888641
ASNPRO	6.82946201584029
ASNSER	6.82014585475383
ASNTHR	7.00847184912274
ASNTRP	8.77722599638233
ASNTYR	8.70761417716907
ASNVAL	7.08839685661337
ASPASP	7.52945237439578
ASPCYS	6.63503425874513
ASPGLN	8.06185713376395
ASPGLU	8.05800408673562
ASPGLY	5.962
ASPHIS	8.33517300429068
ASPILE	7.31865614457308
ASPLEU	7.27005616075514
ASPLYS	8.76702667145956
ASPMET	7.65542025127410
ASPPHE	7.99549577620782
ASPPRO	6.72529167773547
ASPSER	6.67812665433557
ASPTHR	6.80695633864552
ASPTRP	8.71583469760037
ASPTYR	8.98090931946629
ASPVAL	6.87270779794984
CYSCYS	5.92915313474635
CYSGLN	7.68855249687910
CYSGLU	7.09347238760586
CYSGLY	5.45815
CYSHIS	7.96839666757598
CYSILE	7.27120492760452
CYSLEU	7.42502191233944
CYSLYS	7.57931680544716
CYSMET	7.58733103114290
CYSPHE	8.08425391765340
CYSPRO	6.64449117384391
CYSSER	6.37376670791375
CYSTHR	6.54375634177523
CYSTRP	8.48020330636592
CYSTYR	7.99041153829002
CYSVAL	6.73630377587013
GLNGLN	8.73740880516343
GLNGLU	8.48664796863744
GLNGLY	6.5025
GLNHIS	8.65943938752173
GLNILE	7.87792823291935
GLNLEU	8.12916633218305
GLNLYS	8.75162064637847
GLNMET	8.27745314935588
GLNPHE	8.65440969192088
GLNPRO	7.48845166126614
GLNSER	7.35405161984769
GLNTHR	7.59704898130436
GLNTRP	8.91579716136401
GLNTYR	9.25254522163313
GLNVAL	7.59908903121547
GLUGLU	8.62613954494614
GLUGLY	6.47625
GLUHIS	8.90131657431987
GLUILE	7.61182008266884
GLULEU	7.86493129259806
GLULYS	9.40041331384807
GLUMET	8.07416032861812
GLUPHE	8.38823401234979
GLUPRO	7.40097875309113
GLUSER	7.36278454835660
GLUTHR	7.47345425232561
GLUTRP	9.10856157078892
GLUTYR	9.31009445344886
GLUVAL	7.35083468642770
GLYGLY	4.5417
GLYHIS	6.57985
GLYILE	6.13975
GLYLEU	6.29895
GLYLYS	6.77155
GLYMET	6.4769
GLYPHE	6.8353
GLYPRO	5.5798
GLYSER	5.38
GLYTHR	5.69115
GLYTRP	7.26675
GLYTYR	7.12165
GLYVAL	5.78365
HISHIS	8.55717572308617
HISILE	8.00152500055914
HISLEU	8.25738684363020
HISLYS	8.73923819920487
HISMET	8.38112223875202
HISPHE	8.70493588933860
HISPRO	7.31353208860045
HISSER	7.49712673990864
HISTHR	7.69748543290461
HISTRP	9.31693768131733
HISTYR	9.15176528904577
HISVAL	7.67077605403691
ILEILE	7.93421991976067
ILELEU	8.13629150574564
ILELYS	7.90776366647095
ILEMET	8.30766159679873
ILEPHE	8.60517530507573
ILEPRO	7.26814354404592
ILESER	6.82215102934463
ILETHR	7.40818376111115
ILETRP	9.2349162472828
ILETYR	8.58373576779798
ILEVAL	7.53153017093052
LEULEU	8.23384298695426
LEULYS	7.98743593838137
LEUMET	8.38193272486145
LEUPHE	8.77038561935594
LEUPRO	7.48830069717538
LEUSER	7.15891084289977
LEUTHR	7.61412588144332
LEUTRP	9.23033933481777
LEUTYR	8.75772000243145
LEUVAL	7.77376253472725
LYSLYS	9.54178982590319
LYSMET	8.43967395811725
LYSPHE	8.46690628498818
LYSPRO	7.76680673916998
LYSSER	7.97159185739172
LYSTHR	8.01631217486102
LYSTRP	8.83839808903178
LYSTYR	9.29901654905215
LYSVAL	7.53528936963561
METMET	8.49031267437161
METPHE	8.88887965347402
METPRO	7.71351514468974
METSER	7.12799532329204
METTHR	7.70429613364061
METTRP	9.38719396473260
METTYR	8.8439362576805
METVAL	7.94308189480210
PHEPHE	9.21214765037181
PHEPRO	7.72313302939487
PHESER	7.57892543204881
PHETHR	8.18940376849220
PHETRP	9.97302825041026
PHETYR	9.29039126520243
PHEVAL	8.44741364761614
PROPRO	6.71260953770053
PROSER	6.41988704894438
PROTHR	6.85390020808575
PROTRP	8.09578489266612
PROTYR	8.30378623251600
PROVAL	6.99188460851979
SERSER	6.14628809264394
SERTHR	6.40884644256299
