1 2.51363
2 3.89228
3 1.32483
4 3.81199
5 2.25919
6 1.11618
7 3.7739
8 2.76898
9 2.74207
10 3.77523
11 2.56352
12 1.757
13 2.96391
14 1.43721
15 3.10481
16 3.61445
17 0.82367
18 3.1234
19 3.72034
20 2.84662
21 1.22078
22 0.583207
23 2.32881
24 3.69134
25 3.52568
26 1.41209
27 3.20233
28 1.06769
29 3.93865
30 1.1286
31 2.35408
32 1.75969
33 3.97173
34 1.41209
35 1.64532
36 1.64731
37 3.14224
38 1.23298
39 3.11443
40 2.86411
41 3.63716
42 2.19583
43 0.883197
44 1.81222
45 0.807577
46 2.46075
47 3.76164
48 1.91934
49 3.18967
50 3.37694
