1 3.48785
2 3.81936
3 3.95037
4 1.22526
5 2.35939
6 1.45345
7 2.92837
8 3.88673
9 3.65279
10 1.56114
11 3.21409
12 3.7484
13 3.45783
14 1.1318
15 3.05386
16 2.33245
17 1.1318
18 3.90852
19 3.51967
20 1.22526
21 3.39492
22 3.16176
23 3.83874
24 3.99118
25 3.94013
26 3.60662
27 3.9338
28 2.30667
29 3.6265
30 3.65958
31 3.95037
32 3.26924
33 3.63286
34 2.57192
35 3.51967
36 1.56114
37 3.88673
38 2.23099
39 3.80593
40 3.05753
41 3.37665
42 3.9091
43 3.80726
44 3.9338
45 2.94473
46 3.48785
47 3.65279
48 3.86844
49 3.05753
50 3.05386
