1 3.26381
2 2.96896
3 2.70466
4 2.22454
5 2.89849
6 3.762
7 3.36974
8 3.38011
9 3.42064
10 3.41807
11 3.67645
12 3.63363
13 2.98581
14 2.80474
15 3.35372
16 3.28435
17 2.58583
18 3.21068
19 3.46905
20 3.81238
21 3.06963
22 3.32813
23 2.97942
24 2.40905
25 2.94817
26 3.04156
27 3.03443
28 2.64561
29 2.70223
30 2.62347
31 3.82173
32 2.7444
33 3.03748
34 3.8251
35 3.72112
36 3.70003
37 3.03693
38 3.11966
39 3.52229
40 2.65563
41 3.73015
42 3.49383
43 2.70943
44 3.90166
45 2.92269
46 3.40131
47 3.39866
48 2.44577
49 3.46885
50 3.48832
