ALAALA 	 5.53016896037621 	 0.839694560747006
ARGARG 	 10.3096104426092 	 2.69831165620854
ASNASN 	 7.30932590910709 	 1.44614748181393
ASPASP 	 7.52945237439578 	 1.67269927720426
CYSCYS 	 5.92915313474635 	 1.19122785258115
GLNGLN 	 8.73740880516343 	 1.94470820250454
GLUGLU 	 8.62613954494614 	 2.09883473266444
GLYGLY 	 4.5417 	 0.5
HISHIS 	 8.55717572308617 	 2.08868826284101
ILEILE 	 7.93421991976067 	 1.46506531185931
LEULEU 	 8.23384298695426 	 1.51336132493571
LYSLYS 	 9.54178982590319 	 2.94889844525589
METMET 	 8.49031267437161 	 1.91684099183226
PHEPHE 	 9.21214765037181 	 2.16385605997045
PROPRO 	 6.71260953770053 	 1.17004012500262
SERSER 	 6.14628809264394 	 1.09683894398628
THRTHR 	 6.71212309439505 	 1.25122370720219
TRPTRP 	 9.96176991823581 	 2.68747086863067
TYRTYR 	 9.36930023419582 	 2.67044466163393
VALVAL 	 7.10756468404602 	 1.14569404811654
