ALAALA 	 5.53016896037621 	 0.839694560747006
ALAARG 	 7.99282937428693 	 1.94117887529455
ALAASN 	 6.42209730753677 	 1.04250352192686
ALAASP 	 6.24228731014858 	 1.06019311580285
ALACYS 	 6.03474166562018 	 0.915589336501188
ALAGLN 	 6.97489093438761 	 1.31999309073305
ALAGLU 	 6.76216333226547 	 1.28085583683675
ALAGLY 	 5.0454 	 0.5
ALAHIS 	 6.90844179009027 	 1.36978150484738
ALAILE 	 6.74398196945294 	 1.06930100291177
ALALEU 	 6.96703072607167 	 1.13214220228671
ALALYS 	 6.95798161799458 	 1.65423750555238
ALAMET 	 7.13581766175641 	 1.42551166130613
ALAPHE 	 7.59460226708356 	 1.48431142174079
ALAPRO 	 6.09947219927688 	 0.809251393261859
ALASER 	 5.69802371965081 	 0.870918995518913
ALATHR 	 6.27260002241178 	 0.878290948478167
ALATRP 	 7.88765024133371 	 1.78155938052178
ALATYR 	 7.68141700198845 	 1.72850630976295
ALAVAL 	 6.35575403358502 	 0.839355719225532
ARGARG 	 10.3096104426092 	 2.69831165620854
ARGASN 	 8.80114994669552 	 2.14128357156844
ARGASP 	 9.32150122201476 	 2.01537327950925
ARGCYS 	 8.02384900977305 	 1.94425434034449
ARGGLN 	 9.20925886720557 	 2.20638748393123
ARGGLU 	 9.87029143386778 	 2.23225677333349
ARGGLY 	 7.3309 	 0.5
ARGHIS 	 9.29208625825792 	 2.18511557243448
ARGILE 	 8.83512238842503 	 2.03263095947467
ARGLEU 	 8.7293740818728 	 1.95135671624024
ARGLYS 	 9.87929757406129 	 2.52279202552867
ARGMET 	 8.95369667914543 	 2.07595400260294
ARGPHE 	 9.32081638426007 	 2.13966740282585
ARGPRO 	 8.40480453520069 	 1.94602425967053
ARGSER 	 8.41463875187521 	 2.02080394748059
ARGTHR 	 8.56649260283177 	 2.01585858581033
ARGTRP 	 9.30192277103352 	 2.24131922705318
ARGTYR 	 9.74909719974754 	 2.46661718868484
ARGVAL 	 8.39777260160191 	 1.92079359175284
ASNASN 	 7.30932590910709 	 1.44614748181393
ASNASP 	 7.45754013791645 	 1.43917058337004
ASNCYS 	 6.65408403839377 	 1.30694666692554
ASNGLN 	 7.79065155001673 	 1.69879438780209
ASNGLU 	 7.95217053037599 	 1.58356212612339
ASNGLY 	 5.94145 	 0.5
ASNHIS 	 8.12488508154973 	 1.48974443653369
ASNILE 	 7.33122875744647 	 1.36595435257528
ASNLEU 	 7.60844334816334 	 1.42788613724211
ASNLYS 	 8.37350005558603 	 1.96334319300959
ASNMET 	 8.0206248042581 	 1.62360654047619
ASNPHE 	 8.22827995888641 	 1.7926347401722
ASNPRO 	 6.82946201584029 	 1.18094536844066
ASNSER 	 6.82014585475383 	 1.25216166535633
ASNTHR 	 7.00847184912274 	 1.31952941868183
ASNTRP 	 8.77722599638233 	 1.8507826541116
ASNTYR 	 8.70761417716907 	 2.00276944393464
ASNVAL 	 7.08839685661337 	 1.18205145096669
ASPASP 	 7.52945237439578 	 1.67269927720426
ASPCYS 	 6.63503425874513 	 1.23906753897626
ASPGLN 	 8.06185713376395 	 1.64860571861137
ASPGLU 	 8.05800408673562 	 1.80292743530889
ASPGLY 	 5.962 	 0.5
ASPHIS 	 8.33517300429068 	 1.60599158384429
ASPILE 	 7.31865614457308 	 1.27141692143019
ASPLEU 	 7.27005616075514 	 1.42340573103927
ASPLYS 	 8.76702667145956 	 1.8911748198804
ASPMET 	 7.6554202512741 	 1.51985681660858
ASPPHE 	 7.99549577620782 	 1.72959904284709
ASPPRO 	 6.72529167773547 	 1.19142961256861
ASPSER 	 6.67812665433557 	 1.08417717396201
ASPTHR 	 6.80695633864552 	 1.21504422010286
ASPTRP 	 8.71583469760037 	 1.95209052513008
ASPTYR 	 8.98090931946629 	 1.89931115629496
ASPVAL 	 6.87270779794984 	 1.11883027189747
CYSCYS 	 5.92915313474635 	 1.19122785258115
CYSGLN 	 7.6885524968791 	 1.41621565920754
CYSGLU 	 7.09347238760586 	 1.43911274883274
CYSGLY 	 5.45815 	 0.5
CYSHIS 	 7.96839666757598 	 1.34752119491666
CYSILE 	 7.27120492760452 	 1.29920406488089
CYSLEU 	 7.42502191233944 	 1.17537399412104
CYSLYS 	 7.57931680544716 	 1.80825959527102
CYSMET 	 7.5873310311429 	 1.47646448879758
CYSPHE 	 8.0842539176534 	 2.04893884499667
CYSPRO 	 6.64449117384391 	 1.04460234829453
CYSSER 	 6.37376670791375 	 1.04117968962491
CYSTHR 	 6.54375634177523 	 1.10765140383044
CYSTRP 	 8.48020330636592 	 2.10305620798652
CYSTYR 	 7.99041153829002 	 1.8892378792595
CYSVAL 	 6.73630377587013 	 1.18667724083359
GLNGLN 	 8.73740880516343 	 1.94470820250454
GLNGLU 	 8.48664796863744 	 1.78712440394527
GLNGLY 	 6.5025 	 0.5
GLNHIS 	 8.65943938752173 	 1.86880680238183
GLNILE 	 7.87792823291935 	 1.51295505887939
GLNLEU 	 8.12916633218305 	 1.49861651243951
GLNLYS 	 8.75162064637847 	 2.09934970352728
GLNMET 	 8.27745314935588 	 1.73163472576536
GLNPHE 	 8.65440969192088 	 1.86680265347895
GLNPRO 	 7.48845166126614 	 1.40784486063405
GLNSER 	 7.35405161984769 	 1.43586302580669
GLNTHR 	 7.59704898130436 	 1.41423095758074
GLNTRP 	 8.91579716136401 	 1.98635896453986
GLNTYR 	 9.25254522163313 	 2.24075027883139
GLNVAL 	 7.59908903121547 	 1.40160772213323
GLUGLU 	 8.62613954494614 	 2.09883473266444
